job_id,job_title,company_name,location,experience_required_years,skills,salary_min_inr,salary_max_inr,employment_type,remote_option
54,ML Engineer,Tech Mahindra,Pune,3,"Tableau, AWS, Kubernetes",2030283,2136256,Internship,Onsite
55,Backend Developer,Zoho,Mumbai,13,"SQL, Python, Azure",588376,985975,Contract,Onsite
56,Software Engineer,Tech Mahindra,Delhi NCR,15,"Machine Learning, Node.js, Kubernetes",1576732,1798028,Contract,Hybrid
57,Cybersecurity Analyst,Capgemini,Mumbai,1,"Python, Tableau, Machine Learning",1285838,1516963,Contract,Hybrid
58,ML Engineer,HCLTech,Bangalore,12,"Power BI, SQL, Docker",1670790,1914253,Internship,Remote
59,Backend Developer,Tech Mahindra,Delhi NCR,10,"Machine Learning, Java, SQL",1006039,1153601,Internship,Onsite
60,Backend Developer,Infosys,Pune,12,"Python, Tableau, AWS",1493497,1870317,Full-time,Hybrid
61,Cloud Engineer,Capgemini,Mumbai,6,"Docker, React, Machine Learning",1904311,2070625,Contract,Remote
62,DevOps Engineer,Wipro,Bangalore,4,"React, Python, Azure",1096473,1276160,Contract,Onsite
63,Software Engineer,Capgemini,Mumbai,11,"Java, Python, Node.js",1061110,1444392,Internship,Onsite
64,DevOps Engineer,HCLTech,Delhi NCR,0,"Docker, SQL, Tableau",1727064,2113362,Internship,Remote
65,DevOps Engineer,TCS,Kolkata,4,"Python, Node.js, SQL",1025096,1295229,Contract,Remote
66,Backend Developer,HCLTech,Hyderabad,5,"Power BI, React, Node.js",844742,959468,Full-time,Onsite
67,ML Engineer,Wipro,Noida,6,"Node.js, Power BI, Tableau",1371131,1730421,Contract,Remote
68,ML Engineer,HCLTech,Pune,15,"SQL, Node.js, Machine Learning",1547406,1878342,Internship,Remote
69,Business Analyst,Cognizant,Pune,5,"Power BI, Python, Docker",665744,826114,Full-time,Remote
70,Backend Developer,Capgemini,Kolkata,12,"Azure, Machine Learning, Tableau",801063,1092547,Full-time,Onsite
71,Software Engineer,Flipkart,Bangalore,14,"Node.js, React, Docker",966808,1255024,Contract,Hybrid
72,Data Analyst,Zoho,Hyderabad,11,"Azure, Node.js, Python",883381,1229041,Full-time,Remote
73,Data Scientist,Infosys,Noida,14,"React, Kubernetes, Tableau",947325,1323959,Internship,Hybrid
74,Cloud Engineer,TCS,Hyderabad,10,"Power BI, SQL, Java",846066,1026336,Internship,Hybrid
75,Data Scientist,Wipro,Chennai,3,"Tableau, AWS, Machine Learning",896866,1034156,Internship,Hybrid
76,ML Engineer,TCS,Kolkata,10,"AWS, Kubernetes, Java",1738941,1963947,Contract,Onsite
77,Data Analyst,TCS,Kolkata,15,"AWS, Power BI, Python",899448,1199526,Internship,Hybrid
78,Software Engineer,Cognizant,Bangalore,10,"Machine Learning, Kubernetes, Docker",1117972,1344344,Full-time,Remote
79,Data Analyst,Infosys,Mumbai,6,"Tableau, Power BI, SQL",990085,1283278,Full-time,Hybrid
80,DevOps Engineer,Accenture,Mumbai,6,"Docker, Azure, Machine Learning",712103,940194,Full-time,Hybrid
81,Software Engineer,Zoho,Bangalore,3,"Machine Learning, Tableau, Docker",576220,790804,Internship,Onsite
82,ML Engineer,Infosys,Mumbai,1,"React, SQL, Azure",2264056,2616479,Full-time,Onsite
83,Backend Developer,Infosys,Mumbai,15,"Docker, React, Node.js",1147754,1270615,Internship,Remote
84,ML Engineer,Zoho,Noida,11,"Tableau, SQL, AWS",1938649,2066553,Full-time,Onsite
85,DevOps Engineer,Flipkart,Mumbai,2,"Java, AWS, Node.js",1509159,1900601,Internship,Onsite
86,Cloud Engineer,Wipro,Kolkata,8,"SQL, Python, Machine Learning",1506933,1816559,Full-time,Remote
87,Software Engineer,Wipro,Delhi NCR,15,"Java, Tableau, Docker",1583846,1811357,Full-time,Onsite
88,Data Scientist,Cognizant,Delhi NCR,15,"Docker, Machine Learning, SQL",1595959,1742929,Internship,Remote
89,Business Analyst,Cognizant,Pune,7,"Azure, Kubernetes, React",522033,754305,Internship,Remote
90,Software Engineer,Tech Mahindra,Mumbai,0,"Node.js, Tableau, Kubernetes",1143567,1522095,Full-time,Onsite
91,Cybersecurity Analyst,Infosys,Mumbai,15,"Python, Kubernetes, Docker",933736,1297249,Contract,Onsite
92,DevOps Engineer,Accenture,Mumbai,14,"Power BI, React, Python",1228593,1339230,Contract,Remote
93,Data Analyst,Infosys,Noida,10,"Azure, Tableau, React",500907,720142,Internship,Hybrid
94,Backend Developer,Tech Mahindra,Mumbai,15,"SQL, Kubernetes, Docker",967609,1282798,Full-time,Onsite
95,ML Engineer,Tech Mahindra,Mumbai,12,"SQL, AWS, Power BI",2366023,2620408,Full-time,Remote
96,Frontend Developer,Flipkart,Chennai,12,"Docker, Node.js, Power BI",1125848,1507127,Internship,Hybrid
97,Frontend Developer,Accenture,Bangalore,5,"Node.js, Kubernetes, AWS",924117,1151291,Contract,Onsite
98,DevOps Engineer,Capgemini,Bangalore,12,"Kubernetes, Azure, Python",962219,1295437,Internship,Remote
99,Frontend Developer,Zoho,Chennai,13,"React, Kubernetes, Docker",1039059,1295268,Contract,Hybrid
100,DevOps Engineer,Cognizant,Noida,13,"Kubernetes, Machine Learning, AWS",1162531,1269608,Internship,Remote
101,DevOps Engineer,HCLTech,Mumbai,3,"Tableau, Kubernetes, Power BI",1447064,1562340,Contract,Onsite
102,DevOps Engineer,Zoho,Hyderabad,11,"SQL, Node.js, AWS",1775941,1975299,Contract,Onsite
103,Cybersecurity Analyst,HCLTech,Delhi NCR,3,"Azure, Python, SQL",1327732,1698226,Full-time,Hybrid
104,Software Engineer,Infosys,Pune,3,"Docker, Tableau, Machine Learning",1466638,1783626,Internship,Onsite
105,Data Analyst,Capgemini,Kolkata,7,"SQL, Docker, Power BI",490801,772430,Full-time,Onsite
106,Data Scientist,Capgemini,Kolkata,13,"Python, Tableau, React",2238127,2581276,Contract,Remote
107,Data Analyst,Infosys,Chennai,5,"Node.js, Docker, React",449335,763062,Full-time,Hybrid
108,Data Analyst,Flipkart,Chennai,0,"Azure, Power BI, SQL",767081,955625,Internship,Onsite
109,Frontend Developer,Infosys,Chennai,13,"Machine Learning, Power BI, Kubernetes",1238969,1378714,Internship,Hybrid
110,ML Engineer,Cognizant,Chennai,5,"Python, Docker, Kubernetes",2168440,2543036,Contract,Remote
111,Cybersecurity Analyst,Flipkart,Kolkata,8,"Java, Machine Learning, Docker",1208461,1525206,Contract,Hybrid
112,Backend Developer,Flipkart,Delhi NCR,0,"Node.js, Machine Learning, SQL",615681,845071,Internship,Hybrid
113,DevOps Engineer,Infosys,Delhi NCR,12,"Power BI, React, Tableau",1589833,1931932,Internship,Hybrid
114,Business Analyst,Cognizant,Delhi NCR,0,"Azure, Tableau, Python",895742,1183574,Contract,Hybrid
115,Cybersecurity Analyst,Zoho,Bangalore,9,"SQL, Machine Learning, Power BI",692316,804447,Contract,Hybrid
116,Backend Developer,HCLTech,Bangalore,0,"SQL, AWS, Java",1458908,1693841,Full-time,Remote
117,Frontend Developer,Flipkart,Bangalore,14,"Azure, Java, SQL",1098878,1481837,Contract,Onsite
118,Data Analyst,Cognizant,Bangalore,2,"Java, Tableau, Docker",470058,625054,Internship,Onsite
119,Backend Developer,TCS,Noida,14,"Azure, Java, Node.js",928819,1223333,Internship,Remote
120,Software Engineer,Flipkart,Noida,2,"Tableau, Node.js, Java",1332981,1458579,Full-time,Hybrid
121,Data Analyst,Capgemini,Mumbai,6,"AWS, Machine Learning, Java",535035,860348,Internship,Hybrid
122,Data Scientist,Infosys,Delhi NCR,14,"Power BI, SQL, Python",1016124,1217480,Contract,Remote
123,Data Analyst,Tech Mahindra,Chennai,7,"SQL, Azure, Docker",689878,1079525,Internship,Onsite
124,Cloud Engineer,Tech Mahindra,Mumbai,14,"Java, Node.js, AWS",953423,1171470,Internship,Hybrid
125,Data Analyst,HCLTech,Pune,15,"Java, Machine Learning, Tableau",809306,1041100,Full-time,Remote
126,Business Analyst,Tech Mahindra,Pune,1,"Node.js, Azure, Tableau",641870,892333,Internship,Onsite
127,Backend Developer,Infosys,Pune,14,"Azure, SQL, Node.js",659224,899861,Internship,Hybrid
128,Data Analyst,Wipro,Bangalore,9,"SQL, Azure, Power BI",902029,1167813,Full-time,Onsite
129,ML Engineer,HCLTech,Bangalore,0,"React, Machine Learning, SQL",2032932,2138872,Contract,Hybrid
130,Cloud Engineer,Tech Mahindra,Kolkata,7,"React, Tableau, Power BI",1663865,1939160,Full-time,Remote
131,Frontend Developer,Zoho,Delhi NCR,8,"Power BI, Docker, SQL",830716,1036544,Internship,Remote
132,Data Scientist,Flipkart,Bangalore,1,"Tableau, Java, Node.js",1708873,2053044,Contract,Onsite
133,Frontend Developer,Cognizant,Pune,3,"React, AWS, Azure",577586,816110,Full-time,Hybrid
134,Data Scientist,Wipro,Noida,15,"React, Java, AWS",1054296,1174427,Internship,Remote
135,Backend Developer,Cognizant,Noida,13,"Docker, Power BI, AWS",688074,949423,Full-time,Hybrid
136,DevOps Engineer,Tech Mahindra,Pune,15,"Node.js, Machine Learning, Docker",1471778,1684569,Full-time,Onsite
137,Backend Developer,HCLTech,Pune,14,"Azure, Kubernetes, Power BI",695695,837229,Contract,Hybrid
138,Data Scientist,TCS,Chennai,2,"Tableau, Machine Learning, SQL",1374909,1627042,Contract,Remote
139,Cloud Engineer,Infosys,Chennai,13,"SQL, Python, Docker",1704901,1969750,Full-time,Onsite
140,Frontend Developer,Flipkart,Chennai,7,"Python, React, Azure",1299244,1565748,Full-time,Remote
141,Backend Developer,Zoho,Hyderabad,8,"Docker, Java, Azure",1313925,1666142,Contract,Hybrid
142,Data Scientist,Tech Mahindra,Noida,2,"Docker, Python, Node.js",1176155,1481060,Full-time,Onsite
143,Data Scientist,Wipro,Bangalore,10,"Python, Tableau, Node.js",833367,955875,Full-time,Remote
144,Data Analyst,Wipro,Kolkata,6,"AWS, Node.js, Python",865239,991911,Contract,Hybrid
145,Data Scientist,Zoho,Kolkata,9,"Tableau, Docker, SQL",1218224,1337198,Contract,Remote
146,DevOps Engineer,HCLTech,Delhi NCR,9,"SQL, Node.js, Python",862770,1017885,Full-time,Onsite
147,ML Engineer,Accenture,Bangalore,1,"React, AWS, Python",1973135,2199111,Full-time,Hybrid
148,Software Engineer,Cognizant,Kolkata,14,"SQL, Machine Learning, React",1317990,1521193,Full-time,Remote
149,ML Engineer,Capgemini,Bangalore,4,"Docker, SQL, Java",994134,1136975,Internship,Hybrid
150,Cybersecurity Analyst,Wipro,Mumbai,15,"AWS, Kubernetes, Docker",642704,920534,Full-time,Remote
151,ML Engineer,Capgemini,Hyderabad,1,"Docker, Power BI, SQL",1312392,1669965,Contract,Remote
152,Data Analyst,TCS,Noida,9,"Tableau, Machine Learning, React",541918,697597,Contract,Remote
153,Frontend Developer,Tech Mahindra,Hyderabad,12,"Power BI, Tableau, Node.js",509275,831086,Internship,Onsite
154,Frontend Developer,Zoho,Hyderabad,6,"Java, Azure, SQL",1060033,1403217,Contract,Remote
155,Software Engineer,Cognizant,Mumbai,7,"Docker, Java, Kubernetes",1288654,1527893,Full-time,Remote
156,Business Analyst,Accenture,Mumbai,4,"React, Java, Python",682272,790049,Internship,Hybrid
157,Software Engineer,TCS,Delhi NCR,7,"Python, Power BI, Node.js",1346156,1531687,Internship,Onsite
158,Cloud Engineer,Accenture,Hyderabad,14,"Machine Learning, SQL, Tableau",1892444,2283341,Internship,Onsite
159,Data Analyst,Wipro,Noida,4,"Kubernetes, Machine Learning, Power BI",644661,865785,Internship,Onsite
160,Cybersecurity Analyst,TCS,Mumbai,12,"SQL, Kubernetes, Power BI",894049,1239298,Internship,Onsite
161,Software Engineer,TCS,Kolkata,11,"Python, Node.js, Java",696739,896557,Full-time,Onsite
162,Cloud Engineer,Accenture,Pune,10,"Java, Tableau, Azure",1648500,1954337,Contract,Hybrid
163,Frontend Developer,Infosys,Bangalore,6,"Node.js, Python, Power BI",485657,620117,Full-time,Remote
164,Cybersecurity Analyst,Infosys,Mumbai,2,"Azure, AWS, React",748988,1097783,Internship,Hybrid
165,Data Analyst,Flipkart,Noida,11,"Docker, Python, SQL",838031,1115646,Contract,Hybrid
166,ML Engineer,HCLTech,Bangalore,2,"Java, Node.js, Machine Learning",1127150,1430002,Full-time,Onsite
167,Data Analyst,Infosys,Hyderabad,0,"Azure, Docker, Java",771707,954730,Internship,Remote
168,Backend Developer,Infosys,Bangalore,6,"Docker, Java, AWS",1361016,1522256,Internship,Hybrid
169,Data Analyst,Wipro,Mumbai,4,"Java, AWS, Docker",638131,934711,Internship,Remote
170,DevOps Engineer,Cognizant,Bangalore,14,"Azure, Python, Machine Learning",1129404,1485738,Contract,Onsite
171,Backend Developer,Wipro,Chennai,10,"Java, Tableau, Power BI",1384049,1687188,Contract,Onsite
172,Software Engineer,Capgemini,Noida,8,"Power BI, Python, Azure",1528079,1790831,Internship,Hybrid
173,Data Analyst,Tech Mahindra,Delhi NCR,12,"Python, Azure, Kubernetes",634789,854094,Contract,Hybrid
174,Cybersecurity Analyst,Tech Mahindra,Noida,13,"Azure, AWS, React",622535,1021816,Full-time,Remote
175,Cybersecurity Analyst,Infosys,Bangalore,15,"Kubernetes, Node.js, Power BI",949572,1253362,Contract,Hybrid
176,Backend Developer,Capgemini,Mumbai,1,"Python, Machine Learning, Power BI",918926,1178914,Internship,Onsite
177,Software Engineer,Tech Mahindra,Noida,0,"Docker, Kubernetes, Power BI",1382647,1686587,Contract,Onsite
178,DevOps Engineer,Zoho,Mumbai,1,"Python, React, AWS",1333438,1719822,Internship,Hybrid
179,Software Engineer,Flipkart,Delhi NCR,14,"AWS, Kubernetes, Tableau",878942,996710,Full-time,Onsite
180,Data Scientist,TCS,Bangalore,15,"Java, Docker, Node.js",854429,1252607,Full-time,Onsite
181,Cybersecurity Analyst,Wipro,Chennai,13,"Azure, Java, Tableau",635417,781280,Internship,Onsite
182,Data Scientist,Accenture,Pune,4,"SQL, Tableau, React",2272112,2570997,Contract,Hybrid
183,DevOps Engineer,HCLTech,Hyderabad,5,"Power BI, Tableau, React",1269161,1479277,Contract,Remote
184,Software Engineer,Tech Mahindra,Pune,2,"Azure, Node.js, Tableau",677589,927810,Internship,Remote
185,DevOps Engineer,Infosys,Bangalore,11,"AWS, Node.js, Java",1621101,1790982,Full-time,Onsite
186,DevOps Engineer,Wipro,Mumbai,13,"Tableau, SQL, AWS",1530729,1898175,Internship,Onsite
187,Data Analyst,Infosys,Delhi NCR,8,"React, Python, Java",580238,976666,Internship,Remote
188,Business Analyst,Capgemini,Chennai,5,"Java, Machine Learning, Power BI",892185,1070530,Contract,Hybrid
189,Business Analyst,Capgemini,Noida,15,"AWS, Azure, Machine Learning",1025273,1224571,Full-time,Hybrid
190,Data Scientist,TCS,Hyderabad,8,"SQL, Azure, Machine Learning",2284572,2608547,Internship,Hybrid
191,DevOps Engineer,Zoho,Chennai,11,"Machine Learning, Python, React",768563,1094079,Contract,Remote
192,Backend Developer,Accenture,Hyderabad,10,"Python, SQL, AWS",1246874,1620275,Full-time,Onsite
193,Frontend Developer,TCS,Pune,8,"Tableau, Docker, SQL",899285,1021570,Internship,Hybrid
194,Business Analyst,TCS,Hyderabad,0,"Kubernetes, Machine Learning, Azure",941382,1075185,Contract,Hybrid
195,DevOps Engineer,Capgemini,Delhi NCR,3,"Node.js, React, AWS",835446,1127630,Internship,Remote
196,Software Engineer,Accenture,Bangalore,5,"React, Kubernetes, Java",644874,770918,Internship,Onsite
197,Cloud Engineer,Flipkart,Delhi NCR,9,"AWS, SQL, Azure",1857049,1988037,Full-time,Onsite
198,Cybersecurity Analyst,Flipkart,Kolkata,12,"Kubernetes, Machine Learning, SQL",1082908,1295888,Contract,Remote
199,Frontend Developer,Accenture,Chennai,8,"Node.js, Docker, Python",752548,926554,Contract,Remote
200,Backend Developer,Tech Mahindra,Delhi NCR,1,"Docker, Machine Learning, Power BI",1135854,1498757,Internship,Onsite
201,Frontend Developer,Cognizant,Hyderabad,8,"Docker, Power BI, AWS",640068,1019632,Contract,Onsite
202,Frontend Developer,Capgemini,Delhi NCR,6,"Python, Power BI, Kubernetes",868320,1010989,Internship,Hybrid
203,Software Engineer,Accenture,Pune,3,"AWS, SQL, Tableau",1369059,1671318,Internship,Onsite
204,Backend Developer,Capgemini,Kolkata,15,"Tableau, Power BI, AWS",732525,847352,Internship,Remote
205,Cloud Engineer,TCS,Chennai,2,"Node.js, Azure, SQL",1647619,2044899,Internship,Hybrid
206,Data Analyst,Flipkart,Delhi NCR,1,"Power BI, AWS, SQL",641721,874292,Contract,Onsite
207,Business Analyst,Zoho,Bangalore,12,"Node.js, Tableau, Machine Learning",878771,1123387,Contract,Hybrid
208,Cloud Engineer,Accenture,Noida,4,"Power BI, Azure, SQL",1036960,1396986,Full-time,Onsite
209,Data Scientist,Tech Mahindra,Mumbai,8,"React, Machine Learning, Docker",1188991,1551159,Full-time,Onsite
210,Frontend Developer,Infosys,Kolkata,14,"Power BI, Docker, React",1105650,1449893,Contract,Remote
211,Backend Developer,Flipkart,Kolkata,3,"Docker, React, Machine Learning",1099320,1410401,Contract,Hybrid
212,Frontend Developer,Tech Mahindra,Chennai,0,"React, Docker, AWS",881315,1206186,Internship,Remote
213,DevOps Engineer,Tech Mahindra,Pune,15,"SQL, Power BI, Java",1724064,1854912,Contract,Hybrid
214,Cloud Engineer,Accenture,Pune,15,"Power BI, React, Azure",1754983,1890384,Full-time,Onsite
215,Software Engineer,Wipro,Mumbai,2,"Kubernetes, Python, AWS",527419,664909,Contract,Hybrid
216,Frontend Developer,Capgemini,Kolkata,1,"Docker, Machine Learning, Azure",482836,746837,Contract,Hybrid
217,Business Analyst,Flipkart,Mumbai,3,"Kubernetes, AWS, Docker",591647,707029,Full-time,Onsite
218,Cybersecurity Analyst,Infosys,Chennai,8,"AWS, Machine Learning, SQL",786550,1139257,Full-time,Hybrid
219,Business Analyst,Cognizant,Noida,14,"Tableau, Azure, Node.js",718345,1079926,Full-time,Hybrid
220,Cybersecurity Analyst,Wipro,Chennai,7,"Machine Learning, Java, Docker",1009788,1182252,Contract,Hybrid
221,Data Analyst,Accenture,Bangalore,14,"Azure, AWS, Python",637364,828384,Internship,Hybrid
222,Backend Developer,HCLTech,Hyderabad,5,"Azure, AWS, React",681372,1053962,Contract,Remote
223,Data Analyst,Accenture,Delhi NCR,3,"Tableau, Azure, React",936682,1145081,Full-time,Hybrid
224,Cloud Engineer,Capgemini,Hyderabad,5,"Java, Machine Learning, Node.js",1601652,1908583,Full-time,Remote
225,Backend Developer,Infosys,Hyderabad,12,"React, Node.js, Power BI",1165957,1340790,Full-time,Hybrid
226,Business Analyst,Flipkart,Bangalore,7,"Java, Tableau, SQL",855835,1239562,Full-time,Remote
227,Frontend Developer,Flipkart,Chennai,12,"Power BI, Python, Machine Learning",603305,985960,Contract,Onsite
228,Cloud Engineer,TCS,Kolkata,0,"SQL, Azure, Power BI",1266608,1393348,Contract,Hybrid
229,Frontend Developer,Accenture,Pune,5,"Python, Java, React",921324,1114952,Contract,Remote
230,Frontend Developer,HCLTech,Chennai,5,"AWS, Python, Machine Learning",718363,835833,Internship,Remote
231,Data Scientist,Wipro,Mumbai,3,"Tableau, Machine Learning, React",2254602,2577270,Full-time,Hybrid
232,Backend Developer,Capgemini,Chennai,8,"Azure, React, Machine Learning",1086528,1311496,Full-time,Remote
233,Business Analyst,Wipro,Hyderabad,6,"Tableau, Python, AWS",835065,1124126,Internship,Hybrid
234,Data Analyst,TCS,Pune,14,"Tableau, Machine Learning, Java",599886,991249,Contract,Remote
235,Data Scientist,Tech Mahindra,Hyderabad,13,"React, Node.js, Docker",1462511,1821549,Full-time,Remote
236,Cybersecurity Analyst,HCLTech,Mumbai,4,"Machine Learning, Tableau, Node.js",1451415,1611201,Internship,Onsite
237,Cybersecurity Analyst,Zoho,Bangalore,6,"Kubernetes, Python, Docker",674884,1021692,Contract,Onsite
238,Cybersecurity Analyst,Accenture,Chennai,4,"Machine Learning, Java, Tableau",1579575,1798193,Contract,Onsite
239,DevOps Engineer,TCS,Chennai,6,"Node.js, SQL, Tableau",723539,963382,Full-time,Hybrid
240,Data Analyst,Infosys,Delhi NCR,5,"Java, SQL, Power BI",688948,860360,Internship,Hybrid
241,Cybersecurity Analyst,Wipro,Noida,11,"Python, Machine Learning, Docker",1436579,1771000,Internship,Remote
242,Data Analyst,Flipkart,Pune,11,"Docker, AWS, Java",950363,1316861,Internship,Remote
243,Data Scientist,Infosys,Pune,1,"SQL, Tableau, Machine Learning",1737168,2086549,Contract,Onsite
244,DevOps Engineer,Cognizant,Kolkata,12,"Power BI, Azure, React",798717,961235,Contract,Remote
245,Cybersecurity Analyst,Zoho,Hyderabad,15,"Tableau, Node.js, Power BI",1672128,1898287,Internship,Onsite
246,ML Engineer,Tech Mahindra,Noida,6,"Node.js, Power BI, Python",1506325,1672057,Full-time,Hybrid
247,Cloud Engineer,Capgemini,Chennai,10,"SQL, Machine Learning, Azure",1318949,1648981,Contract,Hybrid
248,ML Engineer,HCLTech,Noida,14,"React, Power BI, AWS",1356925,1555375,Full-time,Hybrid
249,Backend Developer,Zoho,Pune,2,"AWS, SQL, Tableau",913610,1063322,Internship,Onsite
250,Data Scientist,Accenture,Hyderabad,0,"Machine Learning, AWS, Java",1468826,1731700,Full-time,Hybrid
251,Cloud Engineer,Accenture,Chennai,14,"Node.js, React, AWS",1809305,1920552,Internship,Remote
252,Data Analyst,Tech Mahindra,Hyderabad,13,"Java, Tableau, Node.js",876379,1097427,Contract,Hybrid
253,Frontend Developer,Capgemini,Chennai,10,"Tableau, Java, Power BI",1211180,1536100,Full-time,Onsite
254,Data Analyst,Cognizant,Mumbai,5,"Tableau, Kubernetes, Node.js",546257,677263,Full-time,Hybrid
255,Cybersecurity Analyst,Capgemini,Hyderabad,13,"Power BI, Kubernetes, Tableau",1495156,1800748,Full-time,Onsite
